file,Query,FragmentCount,serialiser,,parameterSet,runNr,serializeTiming(ms),deSerializeTiming(ms),outputBytes,Transfertime 1MB/s (ms)
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=1024}",,4,1,2356,1478,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=1024}_gzip",,7,1,2301,1632,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=2048}",,5,1,1643,1403,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=2048}_gzip",,8,1,2251,1606,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=4096}",,6,1,1603,1403,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=4096}_gzip",,9,1,2280,1587,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,,N-Triples_utf-8,,1,1,716,1462,46876945,44705.33848
/home/mmlab/serializations-test/queries-1,1,,N-Triples_utf-8_gzipped,,2,1,1182,1801,7192824,6859.611511
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT,,1,1,1449,1909,44641505,42573.45676
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT_gzipped,,3,1,1967,2265,8783167,8376.280785
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT_Value,,2,1,1368,1795,44109601,42066.19358
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT_Value_gzipped,,4,1,1988,2338,8701549,8298.443794
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_1600,,5,1,542,763,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_1600_gzipped,,8,1,1846,1229,10812381,10311.49006
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_32000,,6,1,937,738,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_32000_gzipped,,9,1,2198,1193,10812256,10311.37085
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_800,,4,1,599,765,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_800_gzipped,,7,1,1820,1222,10812731,10311.82384
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_TURTLE_0,,1,1,873,2286,24970149,23813.38978
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_TURTLE_0_gzipped,,2,1,1196,2512,6928208,6607.254028
/home/mmlab/serializations-test/queries-1,1,,Turtle_blocks,,1,1,1458,4007,26228945,25013.87119
/home/mmlab/serializations-test/queries-1,1,,Turtle_blocks_gzipped,,4,1,1854,4158,7012401,6687.54673
/home/mmlab/serializations-test/queries-1,1,,Turtle_flat,,2,1,1375,3907,37961622,36203.02391
/home/mmlab/serializations-test/queries-1,1,,Turtle_flat_gzipped,,5,1,1823,4398,6924495,6603.713036
/home/mmlab/serializations-test/queries-1,1,,Turtle_pretty,,3,1,1626,3702,28335206,27022.55821
/home/mmlab/serializations-test/queries-1,1,,Turtle_pretty_gzipped,,6,1,1932,4053,6928049,6607.102394
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=1024}",,4,2,2270,1420,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=1024}_gzip",,7,2,2299,1676,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=2048}",,5,2,1589,1392,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=2048}_gzip",,8,2,2243,1569,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=4096}",,6,2,1549,1327,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=4096}_gzip",,9,2,2289,1640,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,,N-Triples_utf-8,,1,2,738,1456,46876945,44705.33848
/home/mmlab/serializations-test/queries-1,1,,N-Triples_utf-8_gzipped,,2,2,1208,1738,7193094,6859.869003
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT,,1,2,1384,1726,44641505,42573.45676
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT_gzipped,,3,2,2086,2251,8783261,8376.37043
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT_Value,,2,2,1346,1801,44109601,42066.19358
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT_Value_gzipped,,4,2,2045,2328,8701353,8298.256874
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_1600,,5,2,555,742,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_1600_gzipped,,8,2,1817,1204,10812605,10311.70368
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_32000,,6,2,961,734,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_32000_gzipped,,9,2,2195,1187,10812389,10311.49769
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_800,,4,2,557,704,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_800_gzipped,,7,2,1912,1266,10812283,10311.3966
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_TURTLE_0,,1,2,801,2159,24970149,23813.38978
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_TURTLE_0_gzipped,,2,2,1242,2599,6928099,6607.150078
/home/mmlab/serializations-test/queries-1,1,,Turtle_blocks,,1,2,1324,3580,26228945,25013.87119
/home/mmlab/serializations-test/queries-1,1,,Turtle_blocks_gzipped,,4,2,1657,4272,7012508,6687.648773
/home/mmlab/serializations-test/queries-1,1,,Turtle_flat,,2,2,1381,3726,37961622,36203.02391
/home/mmlab/serializations-test/queries-1,1,,Turtle_flat_gzipped,,5,2,1715,4608,6924572,6603.786469
/home/mmlab/serializations-test/queries-1,1,,Turtle_pretty,,3,2,1458,3647,28335206,27022.55821
/home/mmlab/serializations-test/queries-1,1,,Turtle_pretty_gzipped,,6,2,1888,4041,6928071,6607.123375
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=1024}",,4,3,2243,1428,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=1024}_gzip",,7,3,2245,1603,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=2048}",,5,3,1614,1422,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=2048}_gzip",,8,3,2273,1632,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=4096}",,6,3,1570,1381,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,,"ERI_{disable_consistent_predicates=true, block_size=4096}_gzip",,9,3,2276,1613,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,,N-Triples_utf-8,,1,3,697,1463,46876945,44705.33848
/home/mmlab/serializations-test/queries-1,1,,N-Triples_utf-8_gzipped,,2,3,1170,1740,7193208,6859.977722
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT,,1,3,1438,1778,44641505,42573.45676
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT_gzipped,,3,3,2025,2227,8782812,8375.94223
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT_Value,,2,3,1371,1841,44109601,42066.19358
/home/mmlab/serializations-test/queries-1,1,,RDF_THRIFT_Value_gzipped,,4,3,2110,2110,8701510,8298.406601
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_1600,,5,3,552,739,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_1600_gzipped,,8,3,1893,1225,10812414,10311.52153
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_32000,,6,3,950,736,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_32000_gzipped,,9,3,2164,1194,10812228,10311.34415
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_800,,4,3,556,732,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_BINARY_800_gzipped,,7,3,1781,1160,10812608,10311.70654
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_TURTLE_0,,1,3,811,2131,24970149,23813.38978
/home/mmlab/serializations-test/queries-1,1,,SesameRIO_TURTLE_0_gzipped,,2,3,1177,2517,6928321,6607.361794
/home/mmlab/serializations-test/queries-1,1,,Turtle_blocks,,1,3,1325,3553,26228945,25013.87119
/home/mmlab/serializations-test/queries-1,1,,Turtle_blocks_gzipped,,4,3,1805,4143,7012608,6687.744141
/home/mmlab/serializations-test/queries-1,1,,Turtle_flat,,2,3,1390,3784,37961622,36203.02391
/home/mmlab/serializations-test/queries-1,1,,Turtle_flat_gzipped,,5,3,1815,4471,6924599,6603.812218
/home/mmlab/serializations-test/queries-1,1,,Turtle_pretty,,3,3,1480,3598,28335206,27022.55821
/home/mmlab/serializations-test/queries-1,1,,Turtle_pretty_gzipped,,6,3,1988,4028,6928033,6607.087135
/home/mmlab/serializations-test/queries-1,1,9159,"ERI_{disable_consistent_predicates=true, block_size=1024}",ERI (1024),4,4,2222,1396,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,9159,"ERI_{disable_consistent_predicates=true, block_size=1024}_gzip","ERI (1024,GZIP)",7,4,2225,1600,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,9159,"ERI_{disable_consistent_predicates=true, block_size=2048}",ERI (2048),5,4,1589,1380,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,9159,"ERI_{disable_consistent_predicates=true, block_size=2048}_gzip","ERI (2048,GZIP)",8,4,2248,1622,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,9159,"ERI_{disable_consistent_predicates=true, block_size=4096}",ERI (4096),6,4,1625,1409,7876885,7511.982918
/home/mmlab/serializations-test/queries-1,1,9159,"ERI_{disable_consistent_predicates=true, block_size=4096}_gzip","ERI (4096,GZIP)",9,4,2293,1628,6274764,5984.081268
/home/mmlab/serializations-test/queries-1,1,9159,N-Triples_utf-8,N-Triples,1,4,752,1463,46876945,44705.33848
/home/mmlab/serializations-test/queries-1,1,9159,N-Triples_utf-8_gzipped,N-Triples (GZIP),2,4,1186,1793,7192267,6859.080315
/home/mmlab/serializations-test/queries-1,1,9159,RDF_THRIFT,RDF Thrift,1,4,1383,1810,44641505,42573.45676
/home/mmlab/serializations-test/queries-1,1,9159,RDF_THRIFT_gzipped,RDF Thrift (GZIP),3,4,2079,2285,8783054,8376.173019
/home/mmlab/serializations-test/queries-1,1,9159,RDF_THRIFT_Value,RDF Thrift (Value),2,4,1319,1809,44109601,42066.19358
/home/mmlab/serializations-test/queries-1,1,9159,RDF_THRIFT_Value_gzipped,"RDF Thrift (Value,GZIP)",4,4,2019,2217,8701308,8298.213959
/home/mmlab/serializations-test/queries-1,1,9159,SesameRIO_BINARY_1600,Sesame Binary (1600),5,4,592,743,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,9159,SesameRIO_BINARY_1600_gzipped,"Sesame Binary (1600,GZIP)",8,4,1848,1165,10811979,10311.10668
/home/mmlab/serializations-test/queries-1,1,9159,SesameRIO_BINARY_32000,Sesame Binary (32000),6,4,943,777,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,9159,SesameRIO_BINARY_32000_gzipped,"Sesame Binary (32000,GZIP)",9,4,2164,1141,10812135,10311.25546
/home/mmlab/serializations-test/queries-1,1,9159,SesameRIO_BINARY_800,Sesame Binary (800),4,4,572,722,52556659,50121.93584
/home/mmlab/serializations-test/queries-1,1,9159,SesameRIO_BINARY_800_gzipped,Sesame Binary (800),7,4,1884,1222,10812381,10311.49006
/home/mmlab/serializations-test/queries-1,1,9159,SesameRIO_TURTLE_0,Sesame Turtle,1,4,763,2166,24970149,23813.38978
/home/mmlab/serializations-test/queries-1,1,9159,SesameRIO_TURTLE_0_gzipped,Sesame Turtle (GZIP),2,4,1194,2545,6928221,6607.266426
/home/mmlab/serializations-test/queries-1,1,9159,Turtle_blocks,Jena Turtle (Blocks),1,4,1397,3463,26228945,25013.87119
/home/mmlab/serializations-test/queries-1,1,9159,Turtle_blocks_gzipped,"Jena Turtle (Blocks,GZIP)",4,4,1785,4253,7012276,6687.427521
/home/mmlab/serializations-test/queries-1,1,9159,Turtle_flat,Jena Turtle (Flat),2,4,1380,3747,37961622,36203.02391
/home/mmlab/serializations-test/queries-1,1,9159,Turtle_flat_gzipped,"Jena Turtle (Flat,GZIP)",5,4,1784,4287,6924794,6603.998184
/home/mmlab/serializations-test/queries-1,1,9159,Turtle_pretty,Jena Turtle (Pretty),3,4,1477,3606,28335206,27022.55821
/home/mmlab/serializations-test/queries-1,1,9159,Turtle_pretty_gzipped,"Jena Turtle (Pretty,GZIP)",6,4,2011,3949,6928013,6607.068062
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=1024}",,4,1,66,54,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=1024}_gzip",,7,1,81,56,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=2048}",,5,1,68,46,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=2048}_gzip",,8,1,76,52,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=4096}",,6,1,65,53,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=4096}_gzip",,9,1,85,52,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,,N-Triples_utf-8,,1,1,20,56,1843966,1758.543015
/home/mmlab/serializations-test/queries-10,10,,N-Triples_utf-8_gzipped,,2,1,38,58,234128,223.2818604
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT,,1,1,44,60,1768762,1686.822891
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT_gzipped,,3,1,70,86,285222,272.0088959
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT_Value,,2,1,45,61,1751108,1669.986725
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT_Value_gzipped,,4,1,68,86,281903,268.8436508
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_1600,,5,1,16,31,1829289,1744.545937
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_1600_gzipped,,8,1,59,44,351132,334.8655701
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_32000,,6,1,32,28,1829289,1744.545937
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_32000_gzipped,,9,1,71,41,351105,334.8398209
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_800,,4,1,22,29,1829289,1744.545937
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_800_gzipped,,7,1,51,37,351074,334.810257
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_TURTLE_0,,1,1,24,87,958601,914.1931534
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_TURTLE_0_gzipped,,2,1,38,90,223631,213.2711411
/home/mmlab/serializations-test/queries-10,10,,Turtle_blocks,,1,1,51,163,985803,940.1350021
/home/mmlab/serializations-test/queries-10,10,,Turtle_blocks_gzipped,,4,1,66,139,227291,216.7615891
/home/mmlab/serializations-test/queries-10,10,,Turtle_flat,,2,1,55,160,1548240,1476.516724
/home/mmlab/serializations-test/queries-10,10,,Turtle_flat_gzipped,,5,1,60,140,224695,214.2858505
/home/mmlab/serializations-test/queries-10,10,,Turtle_pretty,,3,1,38,127,1080921,1030.846596
/home/mmlab/serializations-test/queries-10,10,,Turtle_pretty_gzipped,,6,1,57,147,224313,213.9215469
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=1024}",,4,2,71,52,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=1024}_gzip",,7,2,77,65,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=2048}",,5,2,78,58,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=2048}_gzip",,8,2,77,51,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=4096}",,6,2,57,46,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=4096}_gzip",,9,2,81,56,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,,N-Triples_utf-8,,1,2,31,41,1843966,1758.543015
/home/mmlab/serializations-test/queries-10,10,,N-Triples_utf-8_gzipped,,2,2,47,55,234079,223.2351303
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT,,1,2,51,63,1768762,1686.822891
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT_gzipped,,3,2,69,84,285277,272.061348
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT_Value,,2,2,45,64,1751108,1669.986725
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT_Value_gzipped,,4,2,74,64,281909,268.8493729
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_1600,,5,2,23,29,1829289,1744.545937
